nom répertoire photo|adresse site|Nom 1|Nom3|Nom 2|Nom latin|Nom latin2|Nom anglais|Ordre:famille|Fleur en groupe/Fleur isolée|Inflorescence|Fleur/sans fleur|Couleur de la fleur|Couleur 2|Aspect de la fleur|Particularité|Aspect réformé|Nombre de pétales, tépales ou lobes|Forme de la fleur Régulière/Irrégulière|Type de feuille|disposition des feuilles|Tige pubescente/glabre/épine|Feuille pubescente 1/ Feuille pubescente 2/Feuille glabre|FIN
Bruyere_cendree|http://abiris.snv.jussieu.fr/flore/descriptions/Bruyere_cendree.html|Bruyère cendrée|||Erica cinerea||bell heather|Ericaceae|grappe|groupe|avec|rose||cloche|cloche|PSLE|4|régulière|simple entière|verticillées|pubescente|glabre|
Bryone_dioique|http://abiris.snv.jussieu.fr/flore/descriptions/Bryone_dioique.html|Bryone dioïque|||Bryonia dioica||red bryony|Cucurbitaceae|ombelle|groupe|avec|blanc|vert|5 pétales||PSLE|5|régulière|simple dentée|alternes|pubescente|pubescente2|
Bugle_Geneve|http://abiris.snv.jussieu.fr/flore/descriptions/Bugle_de_Geneve.html|Bugle de Genève|||Ajuga genevensis||blue bugle|Lamiaceae|épi|groupe|avec|bleu||tube||PSLI|5|irrégulière|simple dentée|opposées|pubescente|pubescente2|
Bugle_petit_pin|http://abiris.snv.jussieu.fr/flore/descriptions/Bugle_petit_pin.html|Bugle petit pin||Ivette|Ajuga chamaepitys||Yellow bugle|Lamiaceae|isolée|solitaire|avec|jaune||tube||PSLI|5|irrégulière|divisée|opposées|pubescente|pubescente2|
Bugle_rampante|http://abiris.snv.jussieu.fr/flore/descriptions/Bugle_rampante.html|Bugle rampante|||Ajuga reptans||common bugle|Lamiaceae|épi|groupe|avec|bleu||tube|tachetée|PSLI|5|irrégulière|simple dentée|opposées|pubescente|pubescente2|
Buglosse_champs|http://abiris.snv.jussieu.fr/flore/descriptions/Buglosse_des_champs.html|Buglosse des champs||Petit buglosse|Anchusa arvensis||small bugloss|Boraginaceae|grappe|groupe|avec|bleu||tube||PSLE|5|régulière|simple dentée|alternes|pubescente|pubescente2|
Bugrane_rampante|http://abiris.snv.jussieu.fr/flore/descriptions/Bugrane_rampante.html|Bugrane rampante||Arrête-boeuf|Ononis spinosa var. procurrens||common rest-harrow|Fabaceae|isolée|solitaire|avec|rose||papillon|papillon|PSI|5|irrégulière|composée|alternes|pubescente|pubescente2|
Buplevre_en_faux|http://abiris.snv.jussieu.fr/flore/descriptions/Buplevre_en_faux.html|Buplèvre en faux|||Bupleurum falcatum||Chinese Thoroughwax|Apiaceae|ombelle|groupe|avec|jaune||5 pétales||PSER|5|irrégulière, régulière|simple entière|alternes|glabre|glabre|
Butome_ombelle|http://abiris.snv.jussieu.fr/flore/descriptions/Butome_en_ombelle.html|Butome en ombelle||Jonc fleuri|Butomus umbellatus||flowering rush|Butomaceae|ombelle|groupe|avec|rose||6 pétales||PSI|6|régulière|simple entière|à la base|glabre|glabre|
Calament_des_bois|http://abiris.snv.jussieu.fr/flore/descriptions/Calament_des_bois.html|Calament des bois|Sarriette à feuilles de menthe|Calament à feuilles de menthe|Calamintha menthifolia|Calamintha officinalis subsp. sylvatica|Wood calamint|Lamiaceae|grappe|groupe|avec|rose||tube||PSLI|5||simple dentée|opposées|pubescente|pubescente2|
Callune|http://www.tela-botanica.org/bdtfx-nn-12262-synthese|Callune||Bruyère commune|Calluna vulgaris||common heather|Ericaceae|grappe|groupe|avec|rose||cloche||PSER|4|régulière|simple entière|opposées|pubescente|glabre|
Campanule_feuilles_pecher|http://abiris.snv.jussieu.fr/flore/descriptions/Campanule_a_feuilles_de_pecher.html|Campanule à feuilles de pêcher|||Campanula persicifolia||Peach-leaved bellflower|Campanulaceae|grappe|groupe|avec|bleu||cloche|cloche|PSLE|5|PSLE|simple dentée|alternes|glabre|glabre|
Campanule_agglomeree|http://abiris.snv.jussieu.fr/flore/descriptions/Campanule_agglomeree.html|Campanule agglomérée||Ganteline |Campanula glomerata||Clustered bellflower|Campanulaceae||||bleu||cloche|cloche|PSLE|5||simple dentée|alternes|pubescente|pubescente2|
Campanule_gantelee|http://abiris.snv.jussieu.fr/flore/descriptions/Campanule_gantelee.html|Campanule gantelée||Campanule à feuilles d'ortie|Campanula trachelium||nettle-leaved bellflower|Campanulaceae|grappe|groupe|avec|bleu||cloche|cloche|PSLE|5|régulière|simple dentée|alternes|pubescente|pubescente2|
Campanule_raiponce|http://abiris.snv.jussieu.fr/flore/descriptions/Campanule_raiponce.html|Campanule raiponce|||Campanula rapunculus||rampion bellflower|Campanulaceae|grappe|groupe|avec|bleu||cloche|cloche|PSLE|5|régulière|simple entière|alternes|pubescente|pubescente2, pubescente1|
Campanule_fausse_raiponce|http://abiris.snv.jussieu.fr/flore/descriptions/Campanule_fausse_raiponce.html|Campanule fausse raiponce|||Campanula rapunculoides|||Campanulaceae||groupe||bleu|||cloche|PSLE|5||simple dentée|alternes|pubescente|pubescente2|
Capselle|http://abiris.snv.jussieu.fr/flore/descriptions/Capselle_bourse_a_pasteur.html|Capselle bourse à pasteur||Bourse à pasteur|Capsella bursa-pastoris||shepherd's-purse|Brassicaceae|grappe|groupe|avec|blanc||PSER|cloche|PSER|4|régulière|divisée, simple dentée|alternes|glabre|pubescente2|
Cardamine_pres|http://abiris.snv.jussieu.fr/flore/descriptions/Cardamine_des_pres.html|Cardamine des prés||Cressonnette|Cardamine pratensis||cuckoo flower|Brassicaceae|grappe|groupe|avec|rose||PSER||PSER|4|régulière|divisée|alternes|glabre|glabre|
Cardamine_hirsute|http://abiris.snv.jussieu.fr/flore/descriptions/Cardamine_hirsute.html|Cardamine hirsute||Cardamine hérissée|Cardamine hirsuta||Hairy bittercress|Brassicaceae|grappe|groupe|avec|blanc||PSER||PSER|4|régulière|divisée|alternes|glabre|glabre|
Cardamine_impatiente|http://abiris.snv.jussieu.fr/flore/descriptions/Cardamine_impatiente.html|Cardamine impatiente|Herbe au Diable|Cardamine irritable|Cardamine impatiens||narrow-leaved bittercress|Brassicaceae|grappe|groupe|avec|blanc|vert|PSER||PSER|4|régulière|composée|alternes|glabre|glabre|
